GeneID,AssociatedGenes,RelatedGenes,ConceptID,DiseaseName,SourceName,SourceID,DiseaseMIM,LastUpdated
144568,A2ML1,,C1833692,"Otitis media, susceptibility to",MONDO,MONDO:0008162,166760,Feb 16 2016
53947,A4GALT,,C3549485,"Blood group, P1PK system",NCBI curation,,111400,Mar 10 2022
8086,AAAS,,C0271742,Glucocorticoid deficiency with achalasia,NCBI curation,,231550,Feb 16 2016
79719,AAGAB,,CN031225,"Palmoplantar keratoderma, punctate type 1A",MONDO,MONDO:0007858,148600,May 21 2021
16,AARS1,,C2750090,Charcot-Marie-Tooth disease axonal type 2N,MONDO,MONDO:0013212,613287,Jan 21 2022
16,AARS1,,C4225361,"Developmental and epileptic encephalopathy, 29",MONDO,MONDO:0014593,616339,Jan 21 2022
16,AARS1,,C5562044,"Leukoencephalopathy, hereditary diffuse, with spheroids 2",MONDO,MONDO:0030634,619661,Jan 21 2022
16,AARS1,,C5562057,"Trichothiodystrophy 8, nonphotosensitive",MONDO,MONDO:0030517,619691,Apr 19 2022
57505,AARS2,,C4014588,"Leukoencephalopathy, progressive, with ovarian failure",MONDO,MONDO:0014387,615889,Feb 16 2016
57505,AARS2,,C4518839,Combined oxidative phosphorylation defect type 8,MONDO,MONDO:0013570,614096,Apr 19 2022
10157,AASS,,C0268553,Hyperlysinemia,Human Phenotype Ontology,HP:0002161,238700,Feb 16 2016
10157,AASS,,C0268553,Hyperlysinemia,MONDO,MONDO:0009388,238700,Feb 16 2016
18,ABAT,,C0342708,Gamma-aminobutyric acid transaminase deficiency,,,613163,Feb 16 2016
19,ABCA1,,C5231558,"Hypoalphalipoproteinemia, primary, 1",MONDO,MONDO:0011393,604091,Oct 15 2021
19,ABCA1,,C0039292,Tangier disease,MONDO,MONDO:0008783,205400,Nov 27 2020
26154,ABCA12,,C0598226,Autosomal recessive congenital ichthyosis 4B,MONDO,MONDO:0009443,242500,Feb 16 2016
26154,ABCA12,,C1832550,Autosomal recessive congenital ichthyosis 4A,MONDO,MONDO:0011026,601277,Feb 16 2016
20,ABCA2,,C5394135,Intellectual developmental disorder with poor growth and with or without seizures or ataxia,MONDO,MONDO:0032930,618808,Jan 22 2021
21,ABCA3,,C1970456,Interstitial lung disease due to ABCA3 deficiency,MONDO,MONDO:0012582,610921,Apr 19 2022
24,ABCA4,,C1858806,Cone-rod dystrophy 3,MONDO,MONDO:0011395,604116,Jul  7 2020
24,ABCA4,,C1855465,Severe early-childhood-onset retinal dystrophy,MONDO,MONDO:0009549,248200,Apr 19 2022
24,ABCA4,,C3495438,Age related macular degeneration 2,MONDO,MONDO:0007932,153800,Apr 19 2022
24,ABCA4,,C1866422,Retinitis pigmentosa 19,MONDO,MONDO:0011137,601718,Feb 16 2016
23461,ABCA5,,C1851120,Gingival fibromatosis-hypertrichosis syndrome,MONDO,MONDO:0007610,135400,Apr 17 2020
10347,ABCA7,,C4282179,Alzheimer disease 9,MONDO,MONDO:0012153,608907,Apr 19 2022
5243,ABCB1,,C1861502,Colchicine resistance,,,120080,Feb 16 2016
5243,ABCB1,,C2677101,Inflammatory bowel disease 13,MONDO,MONDO:0012831,612244,Feb 16 2016
8647,ABCB11,,C2608083,Benign recurrent intrahepatic cholestasis type 2,MONDO,MONDO:0011559,605479,Apr 22 2020
8647,ABCB11,,C3489789,Progressive familial intrahepatic cholestasis type 2,MONDO,MONDO:0011156,601847,Apr 19 2022
5244,ABCB4,,C3554241,"Cholestasis, intrahepatic, of pregnancy, 3",MONDO,MONDO:0013995,614972,Apr 19 2022
5244,ABCB4,,C1865643,Progressive familial intrahepatic cholestasis type 3,MONDO,MONDO:0011214,602347,Apr 19 2022
5244,ABCB4,,C2609268,Low phospholipid associated cholelithiasis,MONDO,MONDO:0010939,600803,Dec 22 2020
10058,ABCB6,,C3281027,"Microphthalmia, isolated, with coloboma 7",MONDO,MONDO:0013783,614497,Feb 16 2016
10058,ABCB6,,C3809394,Dyschromatosis universalis hereditaria 3,MONDO,MONDO:0014169,615402,Feb 16 2016
10058,ABCB6,,C3276339,Langereis blood group,NCBI curation,,111600,Feb 16 2016
10058,ABCB6,,C1836705,Familial pseudohyperkalemia,MONDO,MONDO:0012204,609153,Apr 19 2022
22,ABCB7,,C1845028,X-linked sideroblastic anemia with ataxia,MONDO,MONDO:0010524,301310,Apr 17 2020
4363,ABCC1,,C5394499,"Hearing loss, autosomal dominant 77",MONDO,MONDO:0030058,618915,Jan  1 2022
85320,ABCC11,,C1861696,"Apocrine gland secretion, variation in",,,117800,Feb 16 2016
1244,ABCC2,,C0022350,Dubin-Johnson syndrome,MONDO,MONDO:0009380,237500,Feb 16 2016
368,ABCC6,,C0033847,Pseudoxanthoma elasticum,,,264800,Feb 16 2016
368,ABCC6,,C1867450,"Pseudoxanthoma elasticum, forme fruste",MONDO,MONDO:0008333,177850,Feb 16 2016
368,ABCC6,,C3276161,"Arterial calcification, generalized, of infancy, 2",MONDO,MONDO:0013768,614473,Apr 19 2022
6833,ABCC8,,C1835887,"Diabetes mellitus, transient neonatal, 2",MONDO,MONDO:0012480,610374,Apr 19 2022
